Course Code|Section GPA|Course CPA*
HUM 111|2.43|2.59
HUM 111|2.75|2.59
HUM 111|2.87|2.63
HUM 111|2.67|2.63
HUM 111|2.58|2.63
HUM 111|2.68|2.63
HUM 111|2.53|2.82
HUM 111|2.97|2.82
HUM 111|2.54|2.82
HUM 111|2.51|2.82
HUM 111|2.61|2.82
HUM 111|2.97|2.82
HUM 111|2.97|2.82
HUM 111|3.13|2.82
HUM 111|3.07|2.86
HUM 111|3.03|2.86
HUM 111|3.01|2.86
HUM 111|2.58|2.86
HUM 112|2.56|2.51
HUM 112|2.47|2.51
HUM 111|2.91|2.94
HUM 111|3.01|2.94
HUM 111|3.05|2.94
HUM 111|3.01|2.94
HUM 111|2.67|2.79
HUM 111|2.76|2.79
HUM 111|2.55|2.79
HUM 111|2.78|2.79
HUM 111|2.65|2.66
HUM 111|2.49|2.66
HUM 111|2.59|2.63
HUM 111|2.7|2.63
HUM 111|2.86|2.63
HUM 111|2.8|2.63
HUM 111|2.69|2.78
HUM 111|3.01|2.78
HUM 111|2.12|2.78
HUM 111|2.61|2.78
HUM 111|2.85|2.65
HUM 111|2.74|2.65
HUM 111|2.51|2.65
HUM 111|2.77|2.55
HUM 111|2.56|2.55
HUM 111|2.36|2.55
HUM 111|2.35|2.55
HUM 111|2.72|2.78
HUM 111|2.87|2.78
HUM 111|2.54|2.78
HUM 111|2.92|2.78
HUM 111|2.9|2.77
HUM 111|2.63|2.77
HUM 111|2.41|2.55
HUM 111|2.69|2.55
HUM 111|2.65|2.55
HUM 111|2.57|2.55
HUM 111|2.53|2.67
HUM 111|2.66|2.67
HUM 111|2.79|2.67
HUM 111|2.58|2.67
HUM 111|2.56|2.63
HUM 111|2.95|2.63
HUM 111|2.52|2.53
HUM 111|2.34|2.53
HUM 111|2.6|2.53
HUM 111|2.65|2.53
HUM 111|2.7|2.67
HUM 111|2.52|2.67
HUM 111|2.62|2.67
HUM 111|2.93|2.67
HUM 111|2.91|2.68
HUM 111|2.73|2.68
HUM 112|2.48|2.66
HUM 112|2.61|2.66
HUM 112|2.69|2.66
HUM 112|2.47|2.66
HUM 111|2.52|2.58
HUM 111|2.75|2.58
HUM 111|2.69|2.58
HUM 111|2.54|2.58
HUM 111|2.89|2.58
HUM 111|2.74|2.52
HUM 111|2.83|2.52
HUM 111|2.58|2.52
HUM 111|2.83|2.52
HUM 111|2.52|2.45
HUM 111|3.09|2.45
HUM 111|2.62|2.45
HUM 111|2.41|2.45
HUM 111|3.28|2.74
HUM 111|3.12|2.74
HUM 111|2.19|2.53
HUM 111|2.42|2.53
HUM 111|2.7|2.53
HUM 111|2.54|2.53
HUM 111|2.61|2.63
HUM 111|2.91|2.63
HUM 111|2.58|2.63
HUM 111|3.0|2.63
HUM 111|2.71|2.79
HUM 112|3.13|2.85
HUM 112|3.43|2.85
HUM 112|3.12|2.85
HUM 112|3.15|2.85
HUM 111|3.09|2.67
HUM 111|3.32|2.67
HUM 111|3.06|2.67
HUM 111|2.9|2.67
HUM 111|2.64|2.46
HUM 112|2.21|2.65
HUM 112|3.05|2.65
HUM 112|3.2|2.65
HUM 111|2.78|2.64
HUM 111|2.9|2.64
HUM 331|3.94|3.94
HUM 111|2.45|2.44
HUM 112|2.35|2.68
HUM 112|2.97|2.9
HUM 112|2.7|2.9
HUM 112|2.34|2.9
HUM 111|2.08|2.57
HUM 111|2.06|2.57
HUM 111|2.38|2.57
HCIV 102|2.59|2.35
HUM 112|2.98|2.73
HUM 112|3.38|2.73
HUM 111|2.69|2.86
HUM 111|3.45|2.86
HUM 111|2.65|2.86
HUM 111|2.87|2.83
HUM 112|2.69|2.89
HUM 112|3.39|2.89
HUM 111|3.62|2.64
HUM 111|2.8|2.64
HUM 111|2.43|2.64
